Year,Month,Day,Fault Code,Duration
2019,10,06,E55,1080
2019,10,07,E55,470
2019,10,08,E55,1210
2019,10,09,E55,240
2019,10,10,E55,970
2019,10,11,E55,880
2019,10,12,E55,980
2019,10,13,E55,1080
2019,10,14,E55,1200
2019,10,15,E55,2040
2019,10,16,E55,830
2019,10,19,E55,340
2019,10,20,E55,600
2019,10,21,E55,1190
2019,10,22,E55,830
2019,10,23,E55,930
2019,10,24,E55,980
2019,10,25,E55,860
2019,10,26,E55,1180
2019,10,27,E55,240
2019,10,28,E55,910
2019,10,29,E55,1420
2019,10,30,E55,1770
2019,10,31,E55,960
2019,11,01,E55,1080
2019,11,02,E55,240
2019,11,04,E55,120
2019,11,05,E55,240
2019,11,07,E55,240
2019,11,21,E55,360
2019,11,22,E55,480
2019,11,22,E72,1440
2019,11,23,E55,240
2019,11,25,E55,480
2019,11,26,E55,240
2019,11,27,E55,360
2019,11,28,E55,720
2019,12,02,E59,120
2019,12,07,E57,70
2019,12,10,E55,350
2019,12,14,E55,120
2019,12,15,E59,70
2020,01,11,E55,360
2020,01,12,E55,1930
2020,02,24,E55,850
2020,03,03,E55,120
2020,03,05,E55,240
2020,03,07,E55,120
2020,03,08,E55,120
2020,03,09,E55,480
2020,03,10,E55,360
2020,03,11,E55,110
2020,03,14,E55,240
2020,03,15,E55,110
2020,03,26,E55,360
2020,03,27,E55,480
2020,04,06,E55,120
2020,04,11,E55,120
2020,04,12,E55,120
2020,04,15,E55,120
2020,04,19,E59,120
2020,04,19,E55,240
2020,04,23,E55,120
2020,04,25,E55,240
2020,04,29,E55,240
2020,05,02,E55,240
2020,05,03,E55,240
2020,05,04,E55,360
2020,05,05,E55,240
2020,05,06,E55,120
2020,05,07,E55,240
2020,06,29,E55,240
2020,06,30,E55,360
2020,07,01,E55,240
2020,07,05,E55,120
2020,07,06,E55,120
2020,07,07,E55,120
2020,08,29,E55,120
2020,09,02,E55,240
2020,09,03,E55,120
2020,09,04,E55,120
2020,09,12,E55,120
2020,09,13,E55,120
2020,09,15,E55,120
2020,09,16,E55,120
2020,09,18,E55,120
2020,09,21,E55,120
2020,09,23,E55,120
2020,09,27,E55,120
2020,09,29,E55,120
2020,09,30,E55,120
2020,10,01,E55,240
2020,10,03,E55,120
2020,10,04,E55,120
2020,10,06,E55,120
2020,10,07,E55,120
2020,10,10,E55,120
2020,10,14,E55,120
2020,10,15,E55,120
2020,10,22,E55,240
2020,10,23,E55,360
2020,10,24,E55,120
2020,10,31,E55,120
2020,12,25,E55,120
2021,02,28,E59,120
2021,03,12,E55,240
2021,03,13,E55,240
2021,03,21,E55,120
2021,03,22,E55,120
2021,03,23,E55,240
2021,03,27,E55,120
2021,03,29,E55,240
2021,03,30,E55,240
2021,04,08,E55,120
2021,04,09,E55,240
2021,04,10,E55,240
2021,04,14,E55,120
2021,04,18,E55,120
2021,04,20,E55,240
2021,04,24,E55,240
2021,05,01,E55,120
2021,05,02,E55,120
2021,05,03,E55,120
2021,05,06,E55,120
2021,05,09,E55,120
2021,05,11,E55,120
2021,05,13,E55,120
2021,05,14,E55,120
2021,05,15,E55,240
2021,05,16,E55,120
2021,05,17,E55,120
2021,05,19,E55,120
2021,05,20,E55,120
2021,05,21,E55,120
2021,05,22,E55,120
2021,05,23,E55,120
2021,05,24,E55,120
2021,05,26,E55,110
2021,06,01,E55,240
2021,06,02,E55,120
2021,06,03,E55,240
2021,06,04,E55,240
2021,06,05,E55,120
2021,06,06,E55,120
2021,07,04,E55,80
2021,07,25,E55,120
2021,07,27,E55,120
2021,07,29,E55,120
2021,09,03,E55,120
2021,09,16,E55,120
2021,09,23,E55,120
2021,10,06,E55,120
2021,10,07,E55,120
2021,10,08,E55,120
2021,10,12,E55,120
2021,10,14,E55,240
2021,10,15,E55,120
2021,10,17,E55,120
2021,10,22,E55,120
2021,10,23,E55,120
2021,10,24,E55,120
2021,10,31,E55,120
2021,11,03,E55,120
2021,11,05,E55,120
2021,11,08,E55,120
2021,11,14,E55,120
2021,11,15,E55,120
2021,11,20,E55,120
2021,11,23,E59,120
2021,11,25,E55,230
2021,11,26,E55,120
2021,12,06,E55,240
2021,12,11,E55,120
2021,12,12,E55,120
2021,12,17,E55,120
2022,02,09,E55,120
2022,02,11,E55,240
2022,02,18,E55,120
